seq,type,timestamp,truckId,positionLatitude,positionLongitude,equipType,nextTripLengthPreference
15,Truck,2023-11-18T08:12:28,101,34.294166564941406,-85.87999725341797,Reefer,Long
16,Truck,2023-11-18T08:19:59,134,39.91321563720703,-86.21017456054688,Flatbed,Short
17,Truck,2023-11-18T08:20:41,121,36.07754898071289,-87.12014770507812,Van,Short
19,Truck,2023-11-18T08:28:02,106,32.50544738769531,-85.60502624511719,Van,Long
20,Truck,2023-11-18T08:29:42,147,35.79412078857422,-86.37789154052734,Flatbed,Long
21,Truck,2023-11-18T08:30:52,159,33.3255615234375,-87.0457534790039,Flatbed,Long
22,Truck,2023-11-18T08:33:01,112,43.46783828735352,-71.5811767578125,Flatbed,Short
23,Truck,2023-11-18T08:33:37,155,36.712520599365234,-81.9375,Flatbed,Long
24,Truck,2023-11-18T08:38:02,114,37.00162124633789,-84.10564422607422,Reefer,Long
25,Truck,2023-11-18T08:38:02,176,40.8126106262207,-73.99231719970703,Van,Short
26,Truck,2023-11-18T08:39:00,144,35.27237701416016,-80.84786224365234,Van,Long
27,Truck,2023-11-18T08:41:08,169,41.511962890625,-87.74269104003906,Reefer,Long
29,Truck,2023-11-18T08:42:24,172,40.81547927856445,-74.44510650634766,Reefer,Long
30,Truck,2023-11-18T08:43:24,185,39.03981018066406,-84.61251068115234,Reefer,Long
31,Truck,2023-11-18T08:43:24,185,38.85344314575195,-84.6650619506836,Reefer,Long
32,Truck,2023-11-18T08:43:25,185,38.24916458129883,-85.6312484741211,Reefer,Long
33,Truck,2023-11-18T08:43:26,185,38.13824081420898,-85.68225860595703,Reefer,Long
34,Truck,2023-11-18T08:43:26,185,38.25375747680664,-85.61189270019531,Reefer,Long
35,Truck,2023-11-18T08:43:26,185,38.16388702392578,-85.67897033691406,Reefer,Long
36,Truck,2023-11-18T08:43:37,141,41.07944488525391,-86.89201354980469,Reefer,Short
37,Truck,2023-11-18T08:44:04,115,43.16802978515625,-80.28224182128906,Reefer,Long
39,Truck,2023-11-18T08:46:07,192,34.79556655883789,-80.4051284790039,Flatbed,Long
40,Truck,2023-11-18T08:46:53,152,41.350582122802734,-87.20035552978516,Flatbed,Long
42,Truck,2023-11-18T08:50:01,201,40.79142379760742,-74.45803833007812,Reefer,Short
43,Truck,2023-11-18T08:50:11,189,36.40932846069336,-84.3056869506836,Flatbed,Long
44,Truck,2023-11-18T08:51:14,137,40.63347625732422,-74.23700714111328,Flatbed,Long
45,Truck,2023-11-18T08:51:16,174,42.97785568237305,-77.22093963623047,Reefer,Long
46,Truck,2023-11-18T08:53:26,186,41.13305282592773,-80.15388488769531,Van,Long
47,Truck,2023-11-18T08:54:06,115,43.13368606567383,-80.51978302001953,Reefer,Long
48,Truck,2023-11-18T08:54:34,191,42.115020751953125,-83.3776626586914,Van,Short
49,Truck,2023-11-18T08:54:34,132,33.85292434692383,-84.24625396728516,Flatbed,Long
50,Truck,2023-11-18T08:54:58,201,40.763450622558594,-74.50614929199219,Reefer,Short
56,Truck,2023-11-18T08:56:37,194,40.37152862548828,-76.68165588378906,Reefer,Long
57,Truck,2023-11-18T08:56:53,111,41.82238006591797,-72.72283172607422,Reefer,Short
58,Truck,2023-11-18T08:57:39,182,42.212677001953125,-83.68504333496094,Van,Short
59,Truck,2023-11-18T08:59:07,115,43.12996673583984,-80.62301635742188,Reefer,Long
60,Truck,2023-11-18T09:01:25,154,40.99319076538086,-82.60523986816406,Van,Short
61,Truck,2023-11-18T09:05:06,145,35.80476760864258,-80.18846130371094,Reefer,Long
62,Truck,2023-11-18T09:05:13,189,36.41474533081055,-84.51128387451172,Flatbed,Long
63,Truck,2023-11-18T09:05:25,180,45.61162185668945,-73.08822631835938,Flatbed,Long
64,Truck,2023-11-18T09:05:53,106,32.53272247314453,-85.56966400146484,Van,Long
65,Truck,2023-11-18T09:05:54,230,39.95553588867188,-83.3736801147461,Reefer,Long
